Rank,Name,Cause_of_Death,Date,Year,Month,Day,Department,State,K9_Unit
Constable,Lloyd M. Kozenieski,Assault,"Tuesday, May 7, 1974",1974,May,Tuesday,"Woodbury Police Department, CT",Connecticut,0
Game Warden,Elmer Leon Nonnast,Heart attack,"Wednesday, May 8, 1974",1974,May,Wednesday,"Kansas Department of Wildlife, Parks, and Tourism - Law Enforcement Division, KS",Kansas,0
Police Officer,Michael Lee Edwards,Gunfire,"Saturday, May 11, 1974",1974,May,Saturday,"Los Angeles Police Department, CA",California,0
Sergeant,William J. Kelleher,Motorcycle crash,"Wednesday, May 15, 1974",1974,May,Wednesday,"Philadelphia Police Department, PA",Pennsylvania,0
Lake Ranger,"William L. Stewart, Jr.",Drowned,"Friday, May 17, 1974",1974,May,Friday,"Oklahoma City Lake Patrol, OK",Oklahoma,0
Sergeant,"Harrison Crenshaw, Jr.",Gunfire,"Saturday, May 18, 1974",1974,May,Saturday,"Metro-Dade Police Department, FL",Florida,0
Patrolman,James K. Reed,Heart attack,"Saturday, May 18, 1974",1974,May,Saturday,"Columbus Division of Police, OH",Ohio,0
Patrolman,William Reed Templin,Gunfire,"Sunday, May 19, 1974",1974,May,Sunday,"Penn Central Railroad Police Department, RR",United States,0
Police Officer,Simmons Arrington,Gunfire,"Tuesday, May 21, 1974",1974,May,Tuesday,"Metro-Dade Police Department, FL",Florida,0
Deputy Sheriff,James A. Allen,Heart attack,"Tuesday, May 21, 1974",1974,May,Tuesday,"Hillsborough County Sheriff's Office, FL",Florida,0
Patrolman,George Rogers,Gunfire,"Tuesday, May 21, 1974",1974,May,Tuesday,"Canton Police Department, NC",North Carolina,0
Investigator,Leslie S. Grosso,Gunfire (Inadvertent),"Tuesday, May 21, 1974",1974,May,Tuesday,"New York State Police, NY",New York,0
Police Officer,Leo Glover,Motorcycle crash,"Thursday, May 23, 1974",1974,May,Thursday,"Florence Police Department, AL",Alabama,0
Patrolman,Donald A. Brown,Gunfire,"Friday, May 24, 1974",1974,May,Friday,"Boston Police Department, MA",Massachusetts,0
Police Officer,Leonard John Anderson,Gunfire,"Saturday, May 25, 1974",1974,May,Saturday,"Wayne Police Department, MI",Michigan,0
Police Officer,Brendt Leroy Stephens,Gunfire,"Saturday, May 25, 1974",1974,May,Saturday,"Detroit Police Department, MI",Michigan,0
Trooper,Darryl M. Rantanen,Vehicular assault,"Monday, May 27, 1974",1974,May,Monday,"Michigan State Police, MI",Michigan,0
Sergeant,Joe Clay,Vehicle pursuit,"Monday, May 27, 1974",1974,May,Monday,"Mississippi Department of Public Safety - Mississippi Highway Patrol, MS",Mississippi,0
Commander,Paul John Gillen,Aircraft accident,"Wednesday, May 29, 1974",1974,May,Wednesday,"Los Angeles Police Department, CA",California,0
Conservation Officer,Samuel B. Buntrock,Aircraft accident,"Wednesday, May 29, 1974",1974,May,Wednesday,"Idaho Department of Fish and Game, ID",Idaho,0
Patrolman First Class,Ben Wesley Strickland,Gunfire,"Friday, May 31, 1974",1974,May,Friday,"South Carolina Highway Patrol, SC",South Carolina,0
Patrolman,L. C. Williamson,Gunfire,"Sunday, June 2, 1974",1974,June,Sunday,"Perry Police Department, SC",South Carolina,0
Officer,Ralph D. Percival,Vehicular assault,"Monday, June 3, 1974",1974,June,Monday,"California Highway Patrol, CA",California,0
Patrolman,David Bannister,Vehicle pursuit,"Monday, June 3, 1974",1974,June,Monday,"El Paso Police Department, TX",Texas,0
Trooper,James Read Hughes,Struck by vehicle,"Monday, June 3, 1974",1974,June,Monday,"Virginia State Police, VA",Virginia,0
Officer,Kenneth L. Scotty McGregor,Aircraft accident,"Tuesday, June 4, 1974",1974,June,Tuesday,"East Bay Regional Park District Police Department, CA",California,0
Officer,Paul F. George,Aircraft accident,"Tuesday, June 4, 1974",1974,June,Tuesday,"East Bay Regional Park District Police Department, CA",California,0
Officer,Paul A. Nields,Gunfire,"Thursday, June 6, 1974",1974,June,Thursday,"Omaha Police Department, NE",Nebraska,0
Sergeant,Dale W. McCann,Heart attack,"Friday, June 7, 1974",1974,June,Friday,"Columbus Division of Police, OH",Ohio,0
Policeman,Atilano Garcia-Mendez,Gunfire,"Sunday, June 9, 1974",1974,June,Sunday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Thomas Eide,Drowned,"Saturday, June 15, 1974",1974,June,Saturday,"New York City Police Department, NY",New York,0
Patrolman,Robert J. Strugala,Gunfire,"Sunday, June 16, 1974",1974,June,Sunday,"Chicago Police Department, IL",Illinois,0
Policeman,Hector Maldonado-Berly,Gunfire,"Monday, June 17, 1974",1974,June,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Jerry Lawrence Riley,Automobile crash,"Tuesday, June 18, 1974",1974,June,Tuesday,"Houston Police Department, TX",Texas,0
Patrolman,James Alvin Parker,Aircraft accident,"Wednesday, June 19, 1974",1974,June,Wednesday,"North Carolina Highway Patrol, NC",North Carolina,0
Sergeant,"John Scott Hackett, Jr.",Aircraft accident,"Wednesday, June 19, 1974",1974,June,Wednesday,"North Carolina Highway Patrol, NC",North Carolina,0
Lieutenant,Henry O. Schmiemann,Gunfire,"Thursday, June 20, 1974",1974,June,Thursday,"New York City Police Department, NY",New York,0
Police Officer,James Melvin Forbes,Aircraft accident,"Friday, June 21, 1974",1974,June,Friday,"Seattle Police Department, WA",Washington,0
Police Officer,James Howard St. DeLore,Aircraft accident,"Friday, June 21, 1974",1974,June,Friday,"Seattle Police Department, WA",Washington,0
Sheriff,Frank E. Red Lott,Gunfire,"Sunday, June 23, 1974",1974,June,Sunday,"Polk County Sheriff's Office, GA",Georgia,0
Detective,Bernard L. Christopher,Gunfire,"Monday, June 24, 1974",1974,June,Monday,"Mount Vernon Police Department, NY",New York,0
Sergeant,Julian Douglas Stuckey,Automobile crash,"Thursday, June 27, 1974",1974,June,Thursday,"Alabama Department of Public Safety, AL",Alabama,0
Patrolman,Harry James Brackman,Motorcycle crash,"Thursday, June 27, 1974",1974,June,Thursday,"San Antonio Police Department, TX",Texas,0
Police Officer,Jon A. Ryckman,Aircraft accident,"Friday, June 28, 1974",1974,June,Friday,"Detroit Police Department, MI",Michigan,0
Police Officer,"Byron B. Soule, Jr.",Aircraft accident,"Friday, June 28, 1974",1974,June,Friday,"Detroit Police Department, MI",Michigan,0
Patrolman,Rory Welch Key,Gunfire,"Friday, June 28, 1974",1974,June,Friday,"Hernando Police Department, MS",Mississippi,0
Captain,Danny Lee Gray,Gunfire,"Friday, June 28, 1974",1974,June,Friday,"Orange Police Department, TX",Texas,0
Jailer,Robert Reed,Assault,"Saturday, June 29, 1974",1974,June,Saturday,"Hayward Police Department, CA",California,0
Deputy,Oscar Leaverton,Heart attack,"Saturday, June 29, 1974",1974,June,Saturday,"Kent County Sheriff's Office, MD",Maryland,0
Trooper,Raymond C. Dodge,Gunfire,"Tuesday, July 2, 1974",1974,July,Tuesday,"New York State Police, NY",New York,0
Police Officer,"Patrick J. Wallace, Jr.",Gunfire,"Wednesday, July 3, 1974",1974,July,Wednesday,"Pittsburgh Bureau of Police, PA",Pennsylvania,0
Deputy Sheriff,A. H. Holly Koerper,Stabbed,"Saturday, July 6, 1974",1974,July,Saturday,"Warren County Sheriff's Office, MS",Mississippi,0
Patrolman,John David Oldham,Struck by vehicle,"Sunday, July 7, 1974",1974,July,Sunday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Patrolman,Harold D. Hambrick,Heart attack,"Sunday, July 7, 1974",1974,July,Sunday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Patrol Agent,Glenn A. Phillips,Automobile crash,"Monday, July 8, 1974",1974,July,Monday,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States,0
Patrolman,Norman F. Bliss,Vehicle pursuit,"Monday, July 8, 1974",1974,July,Monday,"Templeton Police Department, MA",Massachusetts,0
Officer,Manuel Anthony Arceo,Gunfire (Inadvertent),"Tuesday, July 9, 1974",1974,July,Tuesday,"El Monte Police Department, CA",California,0
Patrolman,Richard P. Ross,Exposure to toxins,"Wednesday, July 10, 1974",1974,July,Wednesday,"Colorado State Patrol, CO",Colorado,0
Police Officer,Thomas George Matulis,Gunfire,"Wednesday, July 10, 1974",1974,July,Wednesday,"Milwaukee Police Department, WI",Wisconsin,0
Police Officer,Robert D. Riley,Gunfire,"Wednesday, July 10, 1974",1974,July,Wednesday,"Milwaukee Police Department, WI",Wisconsin,0
Deputy Sheriff,Edward M. Schrader,Gunfire,"Thursday, July 11, 1974",1974,July,Thursday,"Riverside County Sheriff's Department, CA",California,0
Detective Lieutenant,Larry Vernon Barger,Gunfire,"Saturday, July 13, 1974",1974,July,Saturday,"Mooresville Police Department, NC",North Carolina,0
Police Officer,James Gammons,Heart attack,"Saturday, July 13, 1974",1974,July,Saturday,"Hendersonville Police Department, TN",Tennessee,0
Detective,W. C. Simmons,Gunfire,"Saturday, July 13, 1974",1974,July,Saturday,"Texas City Police Department, TX",Texas,0
Officer,Gregory Ray White,Gunfire,"Monday, July 15, 1974",1974,July,Monday,"Atlanta Police Department, GA",Georgia,0
Patrolman,David L. Cole,Gunfire,"Wednesday, July 17, 1974",1974,July,Wednesday,"Cincinnati Police Department, OH",Ohio,0
Patrolman,Walter Demitrie Ilyankoff,Gunfire,"Sunday, July 21, 1974",1974,July,Sunday,"Fort Lauderdale Police Department, FL",Florida,0
Wildlife Officer,Harry Clifford Capps,Aircraft accident,"Monday, July 22, 1974",1974,July,Monday,"Arkansas Game and Fish Commission, AR",Arkansas,0
Wildlife Officer,William Buckley Cassidy,Aircraft accident,"Monday, July 22, 1974",1974,July,Monday,"Arkansas Game and Fish Commission, AR",Arkansas,0
Deputy Sheriff,James Michael Lewis,Gunfire,"Monday, July 22, 1974",1974,July,Monday,"Mohave County Sheriff's Office, AZ",Arizona,0
Investigator,Fidel Angel Rijos-Gomez,Gunfire,"Monday, July 22, 1974",1974,July,Monday,"Puerto Rico Police Department, PR",Puerto Rico,0
Patrolman,Nial T. Churchill,Duty related illness,"Tuesday, July 23, 1974",1974,July,Tuesday,"Mount Kisco Police Department, NY",New York,0
Auxiliary Officer,Walter Thomason Hembree,Gunfire,"Thursday, July 25, 1974",1974,July,Thursday,"Henryetta Police Department, OK",Oklahoma,0
Deputy Sheriff,Burton Lee Brewer,Gunfire,"Thursday, July 25, 1974",1974,July,Thursday,"Okmulgee County Sheriff's Office, OK",Oklahoma,0
City Marshal,Thomas Adkins,Gunfire,"Thursday, July 25, 1974",1974,July,Thursday,"Dewar Police Department, OK",Oklahoma,0
Lieutenant,Philip George Schlatterer,Gunfire,"Thursday, July 25, 1974",1974,July,Thursday,"Columbia Police Department, SC",South Carolina,0
Marshal,Melvin Dee Stiles,Gunfire,"Friday, July 26, 1974",1974,July,Friday,"Oronogo Police Department, MO",Missouri,0
Sheriff,"James Davis McKinnie, Jr.",Vehicular assault,"Friday, July 26, 1974",1974,July,Friday,"Hardeman County Sheriff's Office, TN",Tennessee,0
Police Officer,Garth Langemeade Ward,Automobile crash,"Tuesday, July 30, 1974",1974,July,Tuesday,"Los Angeles Police Department, CA",California,0
Detective Sergeant,"Frank William Grunder, Jr.",Gunfire,"Thursday, August 1, 1974",1974,August,Thursday,"Baltimore City Police Department, MD",Maryland,0
Lieutenant,Louis Arthur Hinkel,Gunfire,"Friday, August 2, 1974",1974,August,Friday,"Dearborn Police Department, MI",Michigan,0
Detective,Doyle Allen Popovich,Gunfire,"Saturday, August 3, 1974",1974,August,Saturday,"Sacramento Police Department, CA",California,0
Deputy Sheriff,"Victor Joseph MacDonald, Jr.",Automobile crash,"Sunday, August 4, 1974",1974,August,Sunday,"Taylor County Sheriff's Office, FL",Florida,0
Special Agent,Charles H. Mann,Structure collapse,"Monday, August 5, 1974",1974,August,Monday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Special Agent,Nickolas Fragos,Structure collapse,"Monday, August 5, 1974",1974,August,Monday,"United States Department of Justice - Drug Enforcement Administration, US",United States,0
Deputy Sheriff,Elmer Willis,Gunfire,"Monday, August 5, 1974",1974,August,Monday,"Madison County Sheriff's Office, GA",Georgia,0
Sergeant,Otha M. LeMons,Gunfire,"Monday, August 5, 1974",1974,August,Monday,"Chicago Police Department, IL",Illinois,0
Deputy Sheriff,John Derek Osborne,Stabbed,"Wednesday, August 7, 1974",1974,August,Wednesday,"Denver Sheriff's Department, CO",Colorado,0
Officer,Dennis Allen Darden,Gunfire,"Friday, August 9, 1974",1974,August,Friday,"Portland Police Bureau, OR",Oregon,0
Officer,John Daniel Kennedy,Gunfire,"Saturday, August 10, 1974",1974,August,Saturday,"Delray Beach Police Department, FL",Florida,0
Police Officer,John Harold Larson,Automobile crash,"Saturday, August 10, 1974",1974,August,Saturday,"St. Paul Police Department, MN",Minnesota,0
Deputy Sheriff,Bobby Whitten,Struck by vehicle,"Sunday, August 11, 1974",1974,August,Sunday,"Troup County Sheriff's Office, GA",Georgia,0
Police Officer,Milton I. Spell,Gunfire,"Thursday, August 15, 1974",1974,August,Thursday,"Baltimore City Police Department, MD",Maryland,0
Control Officer,Joseph B. Modlin,Struck by vehicle,"Thursday, August 15, 1974",1974,August,Thursday,"Washington State Patrol, WA",Washington,0
Police Officer,Thomas V. Pegues,Gunfire,"Monday, August 19, 1974",1974,August,Monday,"New York City Police Department, NY",New York,0
Officer,Glenn A. Rainey,Motorcycle crash,"Friday, August 23, 1974",1974,August,Friday,"Jacksonville Sheriff's Office, FL",Florida,0
Police Officer,"Leo L. Casto, Jr.",Gunfire (Inadvertent),"Friday, August 23, 1974",1974,August,Friday,"Wayne Township Police Department, OH",Ohio,0
Police Officer,Thomas Wayne Birtrong,Automobile crash,"Friday, August 23, 1974",1974,August,Friday,"Austin Police Department, TX",Texas,0
Corporal,Gale Evans Emerson,Fire,"Saturday, August 24, 1974",1974,August,Saturday,"Durango Police Department, CO",Colorado,0
Officer,Keith M. Giles,Struck by vehicle,"Sunday, August 25, 1974",1974,August,Sunday,"California Highway Patrol, CA",California,0
Lieutenant,Russell Maxwell Baldwin,Gunfire,"Tuesday, August 27, 1974",1974,August,Tuesday,"Crawfordsville Police Department, IN",Indiana,0
Chief of Police,William M. Cann,Gunfire,"Thursday, August 29, 1974",1974,August,Thursday,"Union City Police Department, CA",California,0
Deputy Sheriff,Dennis Ray Herring,Gunfire,"Friday, August 30, 1974",1974,August,Friday,"Camden County Sheriff's Office, GA",Georgia,0
Chief of Police,Rudolph M. Dandurand,Gunfire,"Friday, August 30, 1974",1974,August,Friday,"St. Anne Police Department, IL",Illinois,0
Chief Deputy Sheriff,George H. Allen,Automobile crash,"Wednesday, September 4, 1974",1974,September,Wednesday,"Cleveland County Sheriff's Office, NC",North Carolina,0
Patrolman,David J. Scime,Vehicular assault,"Thursday, September 5, 1974",1974,September,Thursday,"Buffalo Police Department, NY",New York,0
Sheriff,Herbert E. Parmeter,Heart attack,"Friday, September 6, 1974",1974,September,Friday,"Sargent County Sheriff's Department, ND",North Dakota,0
Officer,Michael W. Herring,Motorcycle crash,"Tuesday, September 10, 1974",1974,September,Tuesday,"San Francisco Police Department, CA",California,0
Police Officer,Dominick Conticchio,Duty related illness,"Tuesday, September 10, 1974",1974,September,Tuesday,"Jersey City Police Department, NJ",New Jersey,0
Jailer Dispatcher,James Alton Uselton,Gunfire,"Wednesday, September 11, 1974",1974,September,Wednesday,"Whitwell Police Department, TN",Tennessee,0
Policeman,Anibal Loperena-Soto,Gunfire,"Thursday, September 12, 1974",1974,September,Thursday,"Puerto Rico Police Department, PR",Puerto Rico,0
Police Officer,Bruce S. Anderson,Automobile crash,"Saturday, September 14, 1974",1974,September,Saturday,"New York City Police Department, NY",New York,0
Patrolman,Hollie Lamar Tull,Gunfire,"Saturday, September 14, 1974",1974,September,Saturday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Police Officer,"James A. McKale, Jr.",Automobile crash,"Sunday, September 15, 1974",1974,September,Sunday,"Philadelphia Police Department, PA",Pennsylvania,0
Patrol Officer,Raymond Earl Jarrell,Heart attack,"Thursday, September 19, 1974",1974,September,Thursday,"Chickasaw Police Department, AL",Alabama,0
Officer,Gail A. Cobb,Gunfire,"Friday, September 20, 1974",1974,September,Friday,"Metropolitan Police Department, DC",District of Columbia,0
Patrolman,Thomas J. Glynn,Heart attack,"Friday, September 20, 1974",1974,September,Friday,"Chicago Police Department, IL",Illinois,0
Sergeant,Peter J. Rotolo,Heart attack,"Friday, September 20, 1974",1974,September,Friday,"Monroe County Sheriff's Office, NY",New York,0
Deputy Sheriff,"Joseph Law, Sr.",Gunfire,"Saturday, September 21, 1974",1974,September,Saturday,"Cook County Sheriff's Office - Department of Court Services, IL",Illinois,0
Police Officer,Harold L. Woods,Gunfire,"Sunday, September 22, 1974",1974,September,Sunday,"Yonkers Police Department, NY",New York,0
Police Officer,Travis Ed Williams,Gunfire,"Monday, September 23, 1974",1974,September,Monday,"Mesquite Police Department, TX",Texas,0
Special Agent,Richard Phillip Daniels,Motorcycle crash,"Tuesday, September 24, 1974",1974,September,Tuesday,"United States Department of the Treasury - Bureau of Alcohol, Tobacco and Firearms, US",United States,0
Deputy Sheriff,Phillip Kramer,Vehicular assault,"Saturday, September 28, 1974",1974,September,Saturday,"Bay County Sheriff's Office, MI",Michigan,0
Correctional Officer,John W. Johnson,Stabbed,"Sunday, September 29, 1974",1974,September,Sunday,"United States Department of Justice - Federal Bureau of Prisons, US",United States,0
Patrolman,Jack Daniel Templeton,Vehicle pursuit,"Monday, September 30, 1974",1974,September,Monday,"North Carolina Highway Patrol, NC",North Carolina,0
Detention Officer,Albert Feld,Automobile crash,"Tuesday, October 1, 1974",1974,October,Tuesday,"United States Department of Justice - Immigration and Naturalization Service - Detention and Deportation, US",United States,0
Dispatcher,Douglas Lee Dodson,Aircraft accident,"Wednesday, October 2, 1974",1974,October,Wednesday,"Harlingen Police Department, TX",Texas,0
Patrolman,Humberto Javier Avila,Aircraft accident,"Wednesday, October 2, 1974",1974,October,Wednesday,"Mission Police Department, TX",Texas,0
Conservation Officer,Charles Levon McNeill,Gunfire,"Thursday, October 3, 1974",1974,October,Thursday,"South Carolina Department of Natural Resources, SC",South Carolina,0
Deputy Sheriff,James Foote,Vehicular assault,"Friday, October 4, 1974",1974,October,Friday,"Los Angeles County Sheriff's Department, CA",California,0
Patrolman,"James R. J.R. Boyce, Jr.",Gunfire,"Saturday, October 5, 1974",1974,October,Saturday,"Gary Police Department, IN",Indiana,0
Patrolman,"Lawrence Canipe, Jr.",Gunfire,"Saturday, October 5, 1974",1974,October,Saturday,"North Carolina Highway Patrol, NC",North Carolina,0
Sergeant,William Dean Arledge,Gunfire,"Saturday, October 5, 1974",1974,October,Saturday,"North Carolina Highway Patrol, NC",North Carolina,0
Policeman,Eleuterio Maldonado-Afanador,Stabbed,"Saturday, October 5, 1974",1974,October,Saturday,"Puerto Rico Police Department, PR",Puerto Rico,0
Detective,Francis E. Creamer,Heart attack,"Monday, October 7, 1974",1974,October,Monday,"Boston Police Department, MA",Massachusetts,0
Special Agent,Richard Joseph Saba,Gunfire,"Friday, October 11, 1974",1974,October,Friday,"Illinois Central Gulf Railroad Police Department, RR",United States,0
Undersheriff,Richard Floyd Schinzing,Heart attack,"Thursday, October 17, 1974",1974,October,Thursday,"Burnett County Sheriff's Department, WI",Wisconsin,0
Police Officer,David Arthur Jack,Gunfire,"Monday, October 21, 1974",1974,October,Monday,"California State Police, CA",California,0
Officer,Robert Edward Schachte,Gunfire,"Tuesday, October 22, 1974",1974,October,Tuesday,"Indianapolis Police Department, IN",Indiana,0
Reserve Deputy Sheriff,Charles J. Banning,Drowned,"Wednesday, October 23, 1974",1974,October,Wednesday,"Kern County Sheriff's Office, CA",California,0
Narcotics Agent,Patrick Allen Randel,Gunfire,"Wednesday, October 23, 1974",1974,October,Wednesday,"Texas Department of Public Safety - Texas Highway Patrol, TX",Texas,0
Police Officer,Ronald Gene Roberts,Struck by vehicle,"Thursday, October 24, 1974",1974,October,Thursday,"Council Bluffs Police Department, IA",Iowa,0
Trooper,"Emerson J. Dillon, Jr.",Gunfire,"Thursday, October 24, 1974",1974,October,Thursday,"New York State Police, NY",New York,0
Officer,Barry W. Headricks,Gunfire,"Monday, October 28, 1974",1974,October,Monday,"Tucson Police Department, AZ",Arizona,0
Detective,Roy Vance Johnson,Gunfire,"Thursday, October 31, 1974",1974,October,Thursday,"Sedgwick County Sheriff's Office, KS",Kansas,0
Corporal,Marcus W. Hood,Aircraft accident,"Friday, November 1, 1974",1974,November,Friday,"Topeka Police Department, KS",Kansas,0
Special Police Officer,John J. Montabana,Struck by vehicle,"Saturday, November 2, 1974",1974,November,Saturday,"Trumbull Police Department, CT",Connecticut,0
Detective,Nicholas M. Guirado,Gunfire,"Monday, November 4, 1974",1974,November,Monday,"Union City Police Department, NJ",New Jersey,0
Chief of Police,Louis E. Daigle,Aircraft accident,"Wednesday, November 6, 1974",1974,November,Wednesday,"Madawaska Police Department, ME",Maine,0
Patrol Officer,Eugene Wallace Barge,Gunfire,"Thursday, November 7, 1974",1974,November,Thursday,"College Park Police Department, GA",Georgia,0
Private First Class,Joel Dansby,Automobile crash,"Friday, November 8, 1974",1974,November,Friday,"United States Army Military Police Corps, US",United States,0
Patrolman,Michael Neal Carter,Gunfire,"Friday, November 8, 1974",1974,November,Friday,"Chester City Police Department, PA",Pennsylvania,0
Police Officer,Larry Eugene Walters,Gunfire,"Wednesday, November 13, 1974",1974,November,Wednesday,"Riverside Police Department, CA",California,0
Corporal,"Thomas J. DeRue, Sr.",Gunfire,"Thursday, November 14, 1974",1974,November,Thursday,"South Bend Police Department, IN",Indiana,0
Patrolman,William Thomas Cribb,Gunfire,"Friday, November 15, 1974",1974,November,Friday,"Charleston County Police Department, SC",South Carolina,0
Patrolman,Allen Lee Harmon,Gunfire,"Saturday, November 16, 1974",1974,November,Saturday,"Lincoln Police Department, AL",Alabama,0
Patrolman,Otis Lee Sonny Robison,Gunfire,"Saturday, November 16, 1974",1974,November,Saturday,"Lincoln Police Department, AL",Alabama,0
Trooper,Charles Eugene Campbell,Gunfire,"Saturday, November 16, 1974",1974,November,Saturday,"Florida Highway Patrol, FL",Florida,0
Trooper,Thomas L. Hendrickson,Vehicular assault,"Sunday, November 17, 1974",1974,November,Sunday,"Washington State Patrol, WA",Washington,0
Deputy Sheriff,Donald Leeroy Brown,Gunfire,"Thursday, November 21, 1974",1974,November,Thursday,"Yuba County Sheriff's Department, CA",California,0
Chief of Police,William Kirby,Heart attack,"Saturday, November 23, 1974",1974,November,Saturday,"Jay Police Department, OK",Oklahoma,0
Police Officer,John William Turner,Vehicle pursuit,"Wednesday, November 27, 1974",1974,November,Wednesday,"Stone Mountain Police Department, GA",Georgia,0
Patrol Agent,Oscar Trevino Torres,Fall,"Saturday, November 30, 1974",1974,November,Saturday,"United States Department of Justice - Immigration and Naturalization Service - United States Border Patrol, US",United States,0
Police Officer,Ray Pierce Gallimore,Gunfire,"Saturday, November 30, 1974",1974,November,Saturday,"Chesapeake Police Department, VA",Virginia,0
Officer,Leslie J. Prince,Vehicular assault,"Sunday, December 1, 1974",1974,December,Sunday,"Huntington Beach Police Department, CA",California,0
Police Officer,Joseph Patrick Mitchell,Automobile crash,"Sunday, December 1, 1974",1974,December,Sunday,"Eureka Police Department, CA",California,0
Patrolman,Matthew Charles Murphy,Gunfire,"Sunday, December 1, 1974",1974,December,Sunday,"Alice Police Department, TX",Texas,0
Special Agent,Edward John Knartzer,Aircraft accident,"Sunday, December 1, 1974",1974,December,Sunday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Special Agent,Sheila Jean Regan,Aircraft accident,"Sunday, December 1, 1974",1974,December,Sunday,"United States Department of Justice - Federal Bureau of Investigation, US",United States,0
Trooper,Larry Lee Forreider,Gunfire,"Thursday, December 5, 1974",1974,December,Thursday,"Michigan State Police, MI",Michigan,0
Patrolman,John J. Jordan,Gunfire,"Friday, December 6, 1974",1974,December,Friday,"Port of New Orleans Harbor Police Department, LA",Louisiana,0
Patrolman,Michael Lee Waldron,Automobile crash,"Saturday, December 7, 1974",1974,December,Saturday,"LaGrange Police Department, IN",Indiana,0
Sheriff,"Jay Vernon Chastain, Sr.",Gunfire,"Sunday, December 8, 1974",1974,December,Sunday,"Towns County Sheriff's Office, GA",Georgia,0
Sergeant,Charles F. Handorf,Gunfire,"Sunday, December 8, 1974",1974,December,Sunday,"Cincinnati Police Department, OH",Ohio,0
Trooper,William John Antoniewicz,Gunfire,"Sunday, December 8, 1974",1974,December,Sunday,"Utah Highway Patrol, UT",Utah,0
Police Officer,Martin Joseph Greiner,Gunfire,"Tuesday, December 10, 1974",1974,December,Tuesday,"Baltimore City Police Department, MD",Maryland,0
Trooper,Larry Robert Carr,Aircraft accident,"Wednesday, December 11, 1974",1974,December,Wednesday,"Alaska State Troopers, AK",Alaska,0
Trooper,Frank Stuart Rodman,Aircraft accident,"Wednesday, December 11, 1974",1974,December,Wednesday,"Alaska State Troopers, AK",Alaska,0
Officer,Ronald H. Manley,Gunfire,"Thursday, December 12, 1974",1974,December,Thursday,"Indianapolis Police Department, IN",Indiana,0
Police Officer,Herman Reinhold Gloe,Gunfire,"Thursday, December 12, 1974",1974,December,Thursday,"Grand Rapids Police Department, MI",Michigan,0
Patrolman,Leaward Robert Rich,Vehicle pursuit,"Friday, December 13, 1974",1974,December,Friday,"Richmond Police Department, VA",Virginia,0
Patrolman,"Edwin Hugh Stephenson, Jr.",Vehicle pursuit,"Friday, December 13, 1974",1974,December,Friday,"Richmond Police Department, VA",Virginia,0
Deputy Sheriff,Milton C. Starkey,Vehicular assault,"Sunday, December 15, 1974",1974,December,Sunday,"Grant County Sheriff's Department, IN",Indiana,0
Guard,Samuel W. Van Auken,Assault,"Sunday, December 15, 1974",1974,December,Sunday,"Monroe County Correctional Facility, PA",Pennsylvania,0
Deputy Sheriff,Lloyd Clevenger,Vehicular assault,"Friday, December 20, 1974",1974,December,Friday,"Cocke County Sheriff's Office, TN",Tennessee,0
Deputy Sheriff,Billy Walter Smith,Vehicular assault,"Friday, December 20, 1974",1974,December,Friday,"Cocke County Sheriff's Office, TN",Tennessee,0
Police Officer,Robert John Hogue,Gunfire,"Saturday, December 21, 1974",1974,December,Saturday,"Detroit Police Department, MI",Michigan,0
Patrolman,Joe Louis Jushaway,Gunfire,"Saturday, December 21, 1974",1974,December,Saturday,"Waveland Police Department, MS",Mississippi,0
Patrolman,Guy Robert Serfoss,Vehicular assault,"Saturday, December 21, 1974",1974,December,Saturday,"Forks Township Police Department, PA",Pennsylvania,0
Police Officer,Harl G. Meister,Gunfire,"Monday, December 23, 1974",1974,December,Monday,"Chicago Police Department, IL",Illinois,0
Patrol Officer,Rudy Carnel Selman,Automobile crash,"Thursday, December 26, 1974",1974,December,Thursday,"Floyd County Police Department, GA",Georgia,0
Police Officer,Kenneth Mahon,Gunfire,"Saturday, December 28, 1974",1974,December,Saturday,"New York City Police Department, NY",New York,0
Police Officer,Michael L. Draeger,Fire,"Saturday, December 28, 1974",1974,December,Saturday,"Milwaukee Police Department, WI",Wisconsin,0
K9,Quint,Struck by vehicle,"Wednesday, February 6, 1974",1974,February,Wednesday,"Manteca Police Department, CA",California,1
K9,Harvey,Unidentified,"Saturday, March 23, 1974",1974,March,Saturday,"Detroit Public Schools Community District Police Department, MI",Michigan,1
K9,Art,Gunfire (Inadvertent),"Monday, August 26, 1974",1974,August,Monday,"Houston Police Department, TX",Texas,1
K9,Woo,Struck by vehicle,"Saturday, November 23, 1974",1974,November,Saturday,"Tucson Police Department, AZ",Arizona,1
